text,context,intent,sentiment
@xurbiaxendless Iya sebaiknya ada dr indonesia yg buat video sejenis ini dgn bahasa indonesia. Panduan dr mathew varghese dr India ini jelas utk panduan pengobatan covid https://t.co/DWiHC99P3U,0,2,0
Mau ambil surat vaksin bentaran 😁😁😁 https://t.co/spEq1mtUHX,1,4,0
"@sbyfess klu panas = paracetamol, pusing = oskadon, flu batuk = obh, anosmia = terapi uap air panas+minyak kayu putih (tiap siang+mau tidur) = rutin minum degan ijo murni dari buah tanpa campuran sbelum tidur, berjemur 30 menit, kumur pake listerine pas mandi. Aku mantan covid nder",2,2,0
@mx00711 @agama_nusantara @AremaNita__ @RomeskoP @Corona_KafirNw @IngieCS Mumet deh,3,4,1
"Pemilik Warung di Medan, Tolak Penutupan Petugas PPKM Darurat
@edyrahmayadi1
@NawalLubis
@bobbynasution_
#Medan
#Simut
#SumateraUtara
#Siantar
#Sergai
#Indonesia
#IndonesiaMaju
https://t.co/DYON48At63 https://t.co/t9hVB3VoR8",0,3,1
"@ShamsiAli2 Semenjak Trump turun, covid-19 d AS jg ikut turun. Leadership is the key.",0,0,1
"@st_nurjanahh @jokowi Amiinnn,,, bismillah
Yuk bisa Yuk Indonesia lawan Pandemi dengan  Vaksin Covid-19",2,0,0
"Nyusahin Rakyat, Perpanjangan PPKM Darurat Ditolak Relawan Jokowi
https://t.co/qu8HDfQdlv",0,3,1
"@is_pelssy dan sy nungguin TKA China segitu banyak apa kabar mrk di sini, ada lonjakan covid gak di tmpt mrk beraktivitas?",0,0,1
"Cuba , Afrika Selatan dll rusuh krn pemerintah nya tdk becus atasi Pandemi https://t.co/TVdtLl2wtA",0,0,1
"Kat mana² tempat aku tengok, selalu jer ada baju merah ni duk bantu orang. 

Bukan time covid ni jer, masa banjir haritu depa jugk yg kelihatan. 

Dah lah buat takde gaji. Pastu, masa dan tenaga dikorbankan demi masyarakat yg ditimpa kesusahan. 

Respect abam baju merah. https://t.co/C0h5OvuX4g",0,0,1
"Pemerintah telah menerapkan PPKM darurat. Ombudsman RI menyebut ada inkonsistensi dalam PPKM darurat, salah satunya soal pintu internasional yang masih dibuka. https://t.co/blA9VhQBCc",0,3,1
hari ini gue vaksin keduaa moots😭😭 doain,1,3,0
Covid ngajarin kita kalo gamau sakit ya jangan deket deket,2,4,2
@dr_koko28 @AlhamidRejal @Datu_010 @HambaAllah_2204 @darakasiwi Apapun alasannya ada masalah dgn vaksin itu sdh banyak jatuh korban tolong di kaji lagi ada apa di dalam kandungan vaksin itu,1,0,1
"Kisah Sopir Ambulans Covid-19, Merasa Bersalah dan Menyesal jika Tak Bisa Selamatkan Pasien  #LengkapCepatBeritanya #BeritaTerkini  . https://t.co/wQa5kgMB5b",2,3,1
ppkm bangsad,0,0,1
"@FerdinandHaean3 Melihat fakta di lapangan, koordinasi dan arahan dalam PPKM darurat ini banyak yg keliru, tindakan kasar, sewenang2, dan arogansi kerap menjadi pemicu amarah rakyat.
Harus diperbaiki ini Pak @mohmahfudmd",0,0,1
"Isu vaksin berbayar udah nga laku lagi ya buat dijualin?
padahal baru 2 hari lho.
😂😂😂",1,0,1
