tweetcreatedts,username,location,retweetcount,text,hashtags
2021-07-06 23:59:35,aquamcrine_,hogwarts,0,"@KediriFess etdah perasaan ada menfess yg jelasin deh daripada nanya bolak balik bisa kok ketik di pencarian ""kedirifess"" trs masukin apa yg mau di cari, semua adaa :( misal kedirifess ppkm. ntr muncul tuh daripada nanya bolak balik woi heran dah",[]
2021-07-06 23:59:34,liputan6dotcom,Jakarta Indonesia,2,Anies Jamin Keamanan Identitas Pelapor Perusahaan Pelanggar PPKM Darurat https://t.co/KLAOZWf6QA,[]
2021-07-06 23:59:10,tifsembiring,Indonesia,0,"@wiriantowidjaya @luhutbinsarp Mas Wir silakan baca keterangan beliau, meskipun ppkm, orang asing, tka China boleh masuk. Begitu kebijakannya. Kalau saya jumpa dg beliau, saya akan usul, selama PPKM tutup dulu bandara internasional itu. Kalau dia setuju. Yg mikirin covid ini, bukan cuma dia. Kok buruk sangka?",[]
2021-07-06 23:59:07,Jelajah513,Jakarta,0,@AgusNehemia @geloraco Yang sebelum PPKM ya..???,[]
2021-07-06 23:59:04,lemon__tea93,,0,@tempodotco Situ waras pung?apa gunanya PPkm tapi bandara terbuka lebar buat TkA?jadi PPKM itu hanya berlaku buat rakyat kecil terutama umat islam bgtu? https://t.co/hA0ECILfP1,[]
2021-07-06 23:59:03,satumalukuID,"Moluccas, Indonesia",0,Wedding Organizer di Kota Ambon Ubah Strategi Bisnis Menyikapi Kebijakan PPKM Mikro Mulai 8 Juli https://t.co/RRAceF0uu2,[]
2021-07-06 23:58:54,evylagi,boekannn hhh,1,"@hidahidaan PPKM
Pagi Pagi Kudu Mandi  

Sesuai lagu.",[]
2021-07-06 23:58:44,bukatejapolsek2,Indonesia,0,Polsek Bukateja Bersama Gugus Tugas Covid-19 Kecamatan Bukateja Melaksanakan Kegiatan Himbauan Jam Malam di Masa PPKM Darurat. Selasa (6/7/2021) https://t.co/EeCZU1yYnG,[]
2021-07-06 23:58:44,HumasCib,"Jawa barat , KotaBandung",0,"Dalam rangka penegakan Perwal Kota Bandung No.68  tahun 2021, tentang PPKM Darurat, dipimpin Kapolsek Cibeunying Kaler Polrestabes Bandung Kompol Arsyad S.IP,  dan Danramil Cikutra beserta personil Piket Polsek Cibeunying Kaler dan petugas Satpol PP kecamatan. https://t.co/9NH2TuVuXP",[]
2021-07-06 23:58:32,Felixsinaga,Indonesia,0,"Inilah PPKM Jakarta... Ini masih di Plaza Kenari.. Di Jalan Matraman Raya Jakarta Pusat.. 

Banyak... sangat banyak kerumunan di Jakarta... Bukan cuma Sudirman Thamrin doang yg Anies ribut2 itu.. eh malah salah labrak pula lagi.. Kan Dodol https://t.co/sQiwnwcHPs",[]
