text,intent
<USERNAME> aamiin  yarobbalalaamiin  semoga allah ridlo  amp  segera mengangkat wabah covid dr negara kita tercinta indonesia  ,4.0
<USERNAME> yang bikin hoax covid   amp  vaksin itu para kadrun saracen lu gak bisa ngelak drun,1.0
  cm  adakah perusahaan yang open sponsorship buat event kampus dimasa pandemi gini  boleh dong drop rekomendasinya  makasiii,4.0
"@tirta_hudhi @xalkatrax Bajingan2 KORUPTOR banyak dok, anggaran pandemi aja diRampok.",1.0
psbb tahun lalu keknya masig bs enjoy main tiktok sm ngaduk dalgona  tp ppkm skrg gak gila aja udh bersyukur bgttttt,4.0
<USERNAME> pendukung habi cabul  habib teroris  habib pengkhianat  semoga cept mati kena covid junjungn orgpandir,4.0
saat indah kita berdua merajut kasih saling bina cinta tulus murni tiada ingkar  tiada dusta terucap janji selamanya cinta menyatu di dalam kalbu  merpati tak pernah ingkar janji  ppkm day <NUM>   panas panas karo mepe gabah  <URL>,4.0
<USERNAME> rektor ui kena covid  covid nua yg di karantina ,4.0
<USERNAME> ppkm jdi gk diadain sholat ied   ,4.0
corona menggila  amankah utang dan apbn indonesia  <URL>,3.0
<USERNAME> harapannya pandemi segera berakhir  karena tidak bisa dipungkiri  pengaruhnya besar  semoga semester berikutnya akan naik lagi  aamin  ,0.0
<USERNAME> bisa nya bapak santai nonton sinetron pada saat ppkm smentara rakyat sbgian nganggur  kelaparan  mati  ,1.0
pasal pidana uu kekarantinaan dan kuhp menanti pelanggar ppkm darurat <URL>,3.0
@Corona_KafirNw @Budi78799799 @mohmahfudmd Numpang ngakakkkkkkkkk.... 🤣🤣🤣🤣🤣🤣,4.0
giat rekayasa arus lalin dalam rangka ppkm darurat <URL>,3.0
"TERKENDALI TAPI BOHONG.. BOHONG LAGI PEMBOHONG

COVID 19 TAK TERKENDALI.. AYO KAWAN KITA MANDIRI LAWAN COVID 19... https://t.co/gZ103e3vWX",0.0
"@syatebe jgn lupa sarapan, ppkm tetap smangatt ya!!",2.0
panas beuteung  kolesterol di tengah pandemi,4.0
itu sape si dulu yang cepet  cepet nagih minta maaf ke rakyat  terus sekarang pas udah minta maaf lu nya bilang   kalau mau minta maaf harusnya awal pandemi  aneh  gua sih mengapresiasi ya  paling ga mereka mengakui bahwa mereka banyak melakukan kesalahan selama ini  ,1.0
<USERNAME> <USERNAME> vaksin  ngaco lu awkwkwk,4.0
<USERNAME> terus apa yg bisa dilakukan <USERNAME> saat pandemi  padahal dari tahun lalu covid  <NUM> sdh ada di indonesia  tapi satu tindakan nyata  dari <USERNAME> ga ada alias nol  klo cuma teriak doang  monyet itu dari dulu juga bisa teriak tp ga ada yg bisa dilakukan sama sekali koq  ,0.0
semalem cerita k mas kelik  kl kakak kandung sy   mbk farida ratna  sdh meninggal krn covid  hari ini gantian dikhabari kakak mas kelik yg berjuang melawan covid  meninggal    nawak <URL>,3.0
sri mulyani sebut ppkm darurat bakal diperpanjang hingga <NUM> minggu  ini sebabnya      <URL>,3.0
PMI Kabupaten Gunungkidul telah menangani pemakaman 39 jenazah pasien Corona selama Juli 2021. Sebanyak 19 di antaranya meningga saat isoman.,3.0
<USERNAME> <USERNAME> demo agar vaksin gratis  eh udah dikasih gratis malah gak mau divaksin  tereak lockdown  eh baru ppkm aja udah marah  ,1.0
<USERNAME> eh tp rsnd jg udh jd tmpt vaksin buat yg dpt undangan,3.0
buat semua yg merayakan  smoga kita ttp diberi kesehatan jiwa   amp  raga dimasa tersulit saat pandemi ini ya <URL>,4.0
sekali seumur hidup aku bikin dalgona selama pandemi itu pas udah tahun <NUM>  bukan apa  apa  aku merasa menistakan nescafe classic kalo cara bikinnya kaya gitu   the best way to serve nescafe classic is just as simple as air   es batu yang banyak  dah gosah dianehin ,0.0
<USERNAME> <USERNAME> ppkm ndul,4.0
istilah ppkm darurat bakal diubah jadi level <NUM>  <NUM>  di mana level <NUM> masuk kategori   ppkm darurat  ini negara dah kayak candy crush aja pakai level segala  segitu menghindarnya kah dari kata   karantina  biar ga bisa dituntut scr uu  ,1.0
mahasiswa doktoral dari indonesia  indra rudiansyah yg merupakan salah satu team penemu vaksin astra zeneca prof  dr  sarah gilbert <URL>,3.0
<USERNAME> mcm mana nak bezakan side effect vaksin dgn covid ,4.0
menurut gubernur jatim  seluruh kegiatan disatukan dan disinergikan untuk memaksimalkan penanggulangan covid  <NUM> di jawa timur,3.0
penumpang odong  odong diturunkan dan kendaraan langsung digiring ke satlantas polres brebes  <URL>,3.0
anjir reuwas  kirain positif covid  <URL>,4.0
tki asal madura   amp  jawa melanggar prokes c <NUM> kerajaan malaysia  malaysia sedang melaksanakan lockdown  aparat di malaysia tidak ragu melakukan tindakan  <URL>,3.0
x hari raya di tengah pandemi  mau pandemi cepat berakhir  yuk sholat di rumah aja  dan selalu pake maskernya,4.0
<USERNAME> sukarelawan untk vaksin tu ke   camane nak apply   ,4.0
ya gitu manusia kalo bukan tempat nya salah dan dosa ya pasti tempatnya goblok sma g mau di vaksin   pdhl rokok jalan,1.0
<USERNAME> bisa jadi antibodi tidak terbentuk seperti ada dokter yang tidak ada antibodinya walaupun sudah vaksin lengkap  ,3.0
gak nekad jualan  juga sama ya kan  gak ada duit  gak bisa makan  jualan  kena covid  gak bisa makan juga  butuh at least bantuan permakanan  atau kebutuhan pokok terpenuhi dari <USERNAME> misalnya  ya kan  ,1.0
vaksin tolak corona  vaksin untuk mempermudah naik pesawat dan seterusnya nya  meleset,3.0
dari yang terjauh sampai yang terdekat  plis lah  covid  wth r u  plislah plisss,4.0
pemulihan  post covid  <NUM>     <URL>,4.0
<USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> kalau kiamatnya karena meteor  mau makan apa juga tetap kiamat,4.0
Butuh info tempat vaksin yang tanpa menyertakan surat domisili dimana yaa ?😔😔,5.0
matriyejitakdak ootd baju kurung sbb p vaksin and balik tu demam <URL>,4.0
<USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> yg nyawa bukqn covid panjul tapi malaikat izroil,4.0
<USERNAME> giliran gini kaidah usul fiqoh kompressor kluar  giliean awal pandemi goyang ubur  giliran pilkada dilanjutin  giliran varian delta byk di india  orang india msuk sinibbondong  giliran coroan baru mncul di tionkok kita bonus wsta  hdup trnyata selucu filem upin ipin prof,1.0
"@SangGuru2471 @riensayangku @kakekharam Didoain saja, kan kata pak tua itu, virus corona bisa dikalahkan dengan doa tertentu?",4.0
idul adha <NUM> h  takbir keliling dilarang di medan dan semua daerah zona ppkm darurat <URL>,3.0
  dips  mau nanya  aku kan habis kena covid dan sembuh awal bulan juli dan ternyata udah didaftarin orang tua buat vaksin tanggal <NUM> ini  kira kira itu aman ga ya atau harus nunggu <NUM> bulan  ,3.0
"@democrazymedia aneh nya covid nya jinak ya pak klo sama bapak...,.. luar biasa memang bapak ini wabah aja manut apa lgi haya rakyat kecil... yg notabene nya punya pikiran... dan perasan pasti lebih patuh ya",1.0
"Polsek Lirik Serahkan Bantuan Sembako Kepada Masyarakat Terdampak Covid-19.

#AyoLawanCovid-19
#TetapPatuhiProtokolKesehatan
#Patuhi5m https://t.co/F2PTQcmzIn",4.0
terakhir kesini sebelum pandemi <URL>,4.0
berikut sejumlah berita populer  mulai dari eks pejabat setneg yang wafat hingga perubahan limit tarik tunai di atm di masa ppkm darurat  <URL>,4.0
<USERNAME> ppkm ni,4.0
"@Ikhwan_17 @hariankompas @yanuarnugroho @jokowi awal pandemi,
-diskon wisata.
-meremehkan covid
   *joget ubur2.
   *nasi kucing
   * tidk akan masuk CVD karen Negara tropis
   * buzzer yg terus menyerang pemda yang siaga CVD
-disuruh PSBB malah ga mau kompak, pemda yg siaga dimarahi.
-WNA ga berhenti msuk.
siapa yg ngelindur?",1.0
ppkm penis penis kontol meki,4.0
ppkm itu sebenernya membatasi orang yang makan ditempat atau melarang orang berjualan  dan kenapa jam dagang juga dibatasi  selama tidak berkerumun dan taat prokes kyk nya boleh  boleh ajah  ya gak sih  ,0.0
selamat idul adha bagi teman  teman yang merayakan  semoga idul adha di masa pandemi kali ini bisa membuat kita memaknai pengorbanan dan keikhlasan yang sesungguhnya  meski belum bisa bekumpul bersama sanak keluarga  <URL>,3.0
“saya kalau mengawasi oksigen saat jaga malam tidak bisa tidur  khawatir oksigen pasien habis  tiap satu jam saya tengok satu per satu sampai subuh begitu seterusnya  kata arief  <URL>,3.0
idiottt  lu masukin nafas penderita covid ke mulut lu aja udah aneh suuu <URL>,4.0
momentum hari bhayangkara ke  <NUM> kapolres pringsewu berikan penghargaan <NUM> vaksinator covid  <NUM> <URL> lewat <USERNAME>,3.0
<USERNAME> <USERNAME> kel kakakku di jkt serumah kena covid <NUM> org  sediiihh menderita melawan covid  ini  knp masih ada org yg gak percaya  apa pengin terpapar dulu   ,1.0
