text,sentiment
agak miris masih banyak yg ga mau di vaksin  terlebih malah keluarga sendiri   <URL>,1.0
malu banget sholat ied pake ada acara mau pingsan segala  takut di sangka covid ,1.0
<USERNAME> <USERNAME> <USERNAME> <USERNAME> <USERNAME> memang ga kena covid pun bisa mati tp ya ikhtiar supaya ga mempersulit diri sendiri dan org sekitar karena kalo wabahnya tersebar ya zolim kan  hadist nabi pun kalo ada wabah di wilayahmu jgn pergi diamlah di tmptmu,1.0
terus semangat  jaga jarak dan pakai masker karena covid  <NUM> masih ada di sekitar kita ya,2.0
jadi wadm gak lulus ya ginii  <URL>,2.0
<USERNAME> sama hari ini aku vaksin,2.0
<USERNAME> asma aku juga makin jadi selama ppkm ,2.0
sertu aris gunanto anggota koramil <NUM>  karangnyar melaksanakan giat himbauan  pendisiplinan protokol kesehatan di pasar tegalgede karanganyar agar tetap melaksanakan protokol kesehatan covid  <NUM> pada masa pemberlakuan pembatasan kegiatan masyarakat   ppkm  kabupaten karanganyar <URL>,0.0
last time i keluar is two weeks ago  tu pun sebab pi cucuk vaksin kat pwtc  sejenis tak boleh duduk terperap lebih <NUM> minggu  paling paling i nak dok dalam kereta ja sambil tengok duniabluar ,2.0
isoman harusnya dianggap sakit  ada tidak ada covid  sakit itu harusnya ya dibayar meskipun lama  nobody wants to be ill in the first place <URL>,1.0
italia pernah alami tsunami covid  pemerintah n rakyatnya   belajar  dr hal itu  lalu mereka hadapi pandemi dgn cara yg lbih baik  kini italia sudah bebas dr masker  lalu menang pula juara liga eropa  double strike  skilas ttg cara italia hdapi covid simak akun <USERNAME>,1.0
  ya kita mengajak mereka mudah  mudahan mau memberikan kesempatan untuk yang belum dapat vaksin pertama  timpal budi <URL>,0.0
satpol pp disaat ppkm bisa jadi satpol pp ppkm,2.0
ayo kita dukung langkah antisipasi pemerintah sulawesi utara atas peningkatan kasus covid  <NUM> di seluruh provinsi sulawesi utara  <URL>,0.0
imagine after covid ended and time raya   kubur ni mesti bersemut dengan family members yang datang ziarah ya allah i can  t  <URL>,2.0
<USERNAME> <USERNAME> ppkm brow,2.0
<USERNAME> maaf kak  titip ya donasi   bca  <NUM> an  dede mayantika untuk anggita yg masih butuh perawatan  bapak nya cuma skedar kuli bangunan  sampe sekarang belum kerja di tambah situasi pandemi gini  mohon sedikit bantuan y   do  a serta retweet y ya kak <URL>,0.0
jelang berakhirnya ppkm darurat  jokowi  pelonggaran dilakukan kalau penularan covid  <NUM> rendah klik untuk baca  <URL>,2.0
artinya percepatan distribusi vaksin yg merata adalah koentji  kalau mau mempercepat distribusi prinsipnya kan  sederhana  perbanyak arus barangnya melalui berbagai jalur  kanal  kupikir dengan kondisi kritis gini semakin banyak kanal vaksinasi justru semakin bagus,1.0
hai sobat difa  dikala ppkm ini  difa menghadirkan fasilitas telekonsultasi untuk sahabat difa yang membutuhkan konsultasi cuma gak bisa dateng ke klinik untuk tetap bisa menampung keluhan yang sahabat difa rasakan  <URL>,2.0
mari kita langgar ppkm <URL>,2.0
"Nunggu antrian vaksin kaya nunggu si dia yaa, lamaaaa:"")))",2.0
<USERNAME> <USERNAME> oiyaa sekalian minta dijelaskan gmna alur pendistribusian vaksin dr pusat ke daerah biar dijelasin sama petugasnya  biasanya klo tanya soal vaksin gtu ke seksi imunisasi mas  monggo ditanyakan yaa  oiya misal masnya kerja di perusahaan  mas bisa minta divaksin sekantor,2.0
@bertanyarl Dia nih nganggep covid apaan sih? Aliran? Apa kepercayaan? Mau dia percaya apa kaga ya covid bakal tetep ada. Mikir deh lu ah otak mah jangan dianggurin mulu. Covid tuh penyakit bro.,0.0
"Pemerintah Jamin Tak Akan Biarkan Warga Kelaparan di Tengah PPKM Darurat.

Bullshit! Hanya retorika.",1.0
<USERNAME> semoga ppkm cepet kelar,2.0
 lebih <NUM>  <NUM> bilion dos vaksin covid  <NUM> didaftar atau disuntik di seluruh dunia setakat ini <URL>,2.0
<USERNAME> thaun itu bahasa arabnya wabah  jadi corona itu thaun  thaun corona  kan gak mungkin kalau wabah thaun  wabah wabah  ya gak dong  ,1.0
perpanjangan ppkm darurat tidak akan bisa selesaikan wabah  pilihannya seperti buah simalakama  mati karna wabah atau mati karena kelaparan  ,1.0
@CNNIndonesia Njay vaksin rasa oplos dong,2.0
<USERNAME> iya kangen bangettt huhu  ppkm sampe bulan depan soalnya  ,2.0
cuma orang idiot yg ga percaya covid,1.0
hari ini mau di vaksin tapi takut suntikan,2.0
<USERNAME> perbanyak vaksin  perbanyak spot vaksin  perbanyak petugas vaksin  perbanyak sosialisasi  dah gitu aja  gak usah mbelit  ,1.0
kst papua melakukan pelanggaran ham  yuk disiplin ppkm <URL>,2.0
<USERNAME> nah ini  ketika peraturan ppkm tidak digubris  dimana aparat kepolisian  pecat aja itu jajaran kepolisian dr polda  polres sampai polsek nya  jd aparat penegak hukum koq takut sama preman kadal curut spt ini  ckckckc  cc  <USERNAME>,1.0
